Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation (high resolution)  [sfc];Total Precipitation (low resolution)  [sfc];Snowfall Amount (high resolution)  [sfc];Snowfall Amount (low resolution)  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2019;05;30;22;00;15.56;64.00;1025.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;18.69;1.78;14.26;47.05;23.17;45.63;39.52;48.32;30.24
2019;05;30;23;00;14.61;70.00;1025.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.74;47.29;21.14;42.93;40.48;51.50;25.56
2019;05;31;00;00;13.89;76.00;1026.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.23;42.61;21.92;42.34;40.30;48.62;24.84
2019;05;31;01;00;13.08;80.00;1026.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12.23;47.39;21.89;45.00;39.09;49.86;24.12
2019;05;31;02;00;12.29;83.00;1026.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.88;55.78;20.02;52.31;36.20;48.22;21.60
2019;05;31;03;00;12.12;80.00;1026.70;0.00;0.00;0.00;0.00;0.30;1.00;0.00;0.00;0.00;0.00;9.34;27.55;17.08;34.70;26.93;52.06;18.00
2019;05;31;04;00;11.55;81.00;1026.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.37;47.29;16.30;46.79;26.23;46.67;15.84
2019;05;31;05;00;10.81;82.00;1026.40;0.00;0.00;0.00;0.00;2.70;9.00;0.00;0.00;0.00;0.00;5.35;70.35;16.79;59.04;26.48;46.10;16.20
2019;05;31;06;00;10.17;83.00;1026.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.23;0.00;4.21;70.02;14.02;60.80;27.03;48.24;13.68
2019;05;31;07;00;10.36;82.00;1026.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;73.87;3.32;49.40;10.88;55.78;26.32;49.99;13.68
2019;05;31;08;00;11.88;76.00;1026.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;229.62;6.13;40.24;9.42;43.45;25.48;47.29;14.04
2019;05;31;09;00;13.70;69.00;1025.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;394.27;9.18;41.82;12.50;41.50;26.23;46.67;17.28
2019;05;31;10;00;15.54;61.00;1025.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;550.91;10.30;36.47;14.40;36.87;26.22;44.44;17.28
2019;05;31;11;00;17.39;54.00;1025.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;687.08;11.25;39.81;14.62;38.00;28.73;37.87;18.72
2019;05;31;12;00;19.13;47.00;1025.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;791.21;12.50;41.50;15.35;39.29;33.15;34.38;20.88
2019;05;31;13;00;20.57;45.00;1024.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;858.85;14.26;45.00;17.83;43.36;34.57;35.68;22.68
2019;05;31;14;00;21.67;45.00;1024.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;883.77;15.02;44.03;18.86;41.91;32.90;37.00;22.68
2019;05;31;15;00;22.70;41.00;1023.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;863.30;14.77;46.97;16.55;44.12;16.87;39.81;19.08
2019;05;31;16;00;23.17;40.00;1023.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;800.11;15.79;46.85;18.08;44.19;21.47;34.76;17.64
2019;05;31;17;00;23.33;39.00;1022.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;60.00;697.76;12.23;42.61;14.29;40.91;25.58;39.29;16.92
2019;05;31;18;00;23.56;41.00;1022.30;0.00;0.00;0.00;0.00;0.30;1.00;0.00;0.00;60.00;566.04;10.59;35.31;12.78;32.35;25.21;43.26;16.56
2019;05;31;19;00;23.14;45.00;1022.30;0.00;0.00;0.00;0.00;1.80;6.00;0.00;0.00;59.81;419.19;12.29;31.83;16.92;29.29;25.48;42.71;16.92
2019;05;31;20;00;21.96;51.00;1022.00;0.00;0.00;0.00;0.00;1.20;4.00;0.00;0.00;58.85;261.66;11.92;28.89;18.36;28.07;24.44;43.81;20.88
2019;05;31;21;00;19.87;62.00;1022.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;59.23;99.68;11.68;33.69;19.45;38.99;24.95;45.00;21.96
2019;05;31;22;00;18.52;70.00;1022.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19.63;1.78;10.20;42.14;19.35;46.51;25.97;46.12;21.60
2019;05;31;23;00;17.62;73.00;1023.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.50;52.70;21.39;46.36;26.60;50.49;16.20
2019;06;01;00;00;16.97;73.00;1023.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9.45;49.64;18.58;45.78;27.30;48.74;17.64
2019;06;01;01;00;16.49;76.00;1023.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.20;53.13;13.10;52.82;26.52;48.30;14.04
2019;06;01;02;00;15.78;80.00;1023.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.69;55.30;9.20;59.42;25.46;43.85;11.16
2019;06;01;03;00;15.44;80.00;1023.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.49;33.69;10.59;35.31;13.90;53.43;9.72
